id,ferrozine_id,date,Fe2_ppm,FeTotal_ppm,Fe3_ppm,Treatment,Wash,Fraction,Group
AW4.DI,_001,3/8/2024,0.04,0.08,0.04,AW,4,Blank,AW Blank
AW4.ASW,_002,3/8/2024,0.01,0.06,0.05,AW,4,Blank,AW Blank
AW4.1.A,_003,3/8/2024,2.03,16.15,14.12,AW,4,1,AW 1
AW4.1.B,_004,3/8/2024,2.08,17.82,15.74,AW,4,1,AW 1
AW4.1.C,_005,3/8/2024,2.1,18.24,16.14,AW,4,1,AW 1
AW4.45.A,_006,3/8/2024,1.98,14.19,12.21,AW,4,0.45,AW 0.45
AW4.45.B,_007,3/8/2024,2,13.7,11.71,AW,4,0.45,AW 0.45
AW4.45.C,_008,3/8/2024,1.69,12.49,10.79,AW,4,0.45,AW 0.45
AW4.01.A,_009,3/8/2024,1.14,3.24,2.09,AW,4,0.1,AW 0.1
OW4.ASW,_010,3/8/2024,0.01,0.08,0.07,OW,4,Blank,OW Blank
OW4.1.A,_011,3/8/2024,2.3,15.6,13.31,OW,4,1,OW 1
OW4.1.B,_012,3/8/2024,2.03,16.42,14.39,OW,4,1,OW 1
OW4.1.C,_013,3/8/2024,2.03,16.98,14.95,OW,4,1,OW 1
OW4.45.A,_014,3/8/2024,1.78,12.79,11.01,OW,4,0.45,OW 0.45
OW4.45.B,_015,3/8/2024,1.87,14.19,12.31,OW,4,0.45,OW 0.45
OW4.45.C,_016,3/8/2024,1.68,14.41,12.73,OW,4,0.45,OW 0.45
OW4.01.B,_017,3/8/2024,1.18,4.53,3.35,OW,4,0.1,OW 0.1
OW4.01.C,_018,3/8/2024,0.94,3.46,2.52,OW,4,0.1,OW 0.1
AW3.1.A,_019,3/8/2024,2.58,30.19,27.61,AW,3,1,AW 1
AW3.1.B,_020,3/8/2024,2.44,81.93,79.49,AW,3,1,AW 1
AW3.1.C,_021,3/8/2024,2.72,35.47,32.74,AW,3,1,AW 1
AW3.45.A,_022,3/8/2024,1.68,22.43,20.75,AW,3,0.45,AW 0.45
AW3.45.B,_023,3/8/2024,1.96,20.28,18.32,AW,3,0.45,AW 0.45
AW3.45.C,_024,3/8/2024,1.99,20.31,18.31,AW,3,0.45,AW 0.45
AW3.01.A,_025,3/8/2024,1,3.35,2.35,AW,3,0.1,AW 0.1
AW3.01.C,_026,3/8/2024,0.98,4.17,3.19,AW,3,0.1,AW 0.1
OW4.DI,_027,3/8/2024,0.03,0.08,0.05,OW,4,Blank,OW Blank
OW3.1.B,_028,3/8/2024,2.58,39.26,36.68,OW,3,1,OW 1
OW3.1.C,_029,3/8/2024,3.77,34.91,31.14,OW,3,1,OW 1
OW3.45.A,_030,3/8/2024,2.7,20.4,17.7,OW,3,0.45,OW 0.45
OW3.45.B,_031,3/8/2024,2.07,20.58,18.52,OW,3,0.45,OW 0.45
OW3.45.C,_032,3/8/2024,2.03,23.05,21.02,OW,3,0.45,OW 0.45
OW3.01.B,_033,3/8/2024,1.36,4.79,3.43,OW,3,0.1,OW 0.1
OW3.01.C,_034,3/8/2024,1.16,3.01,1.85,OW,3,0.1,OW 0.1
AW3.DI,_035,3/8/2024,0.28,0.35,0.07,AW,3,Blank,AW Blank
AW3.ASW,_036,3/8/2024,0.2,0.27,0.07,AW,3,Blank,AW Blank
AW2.1.C,_037,3/8/2024,0.81,1.75,0.94,AW,2,1,AW 1
AW2.45.A,_038,3/8/2024,0.58,1.28,0.7,AW,2,0.45,AW 0.45
AW2.45.B,_039,3/8/2024,0.88,1.15,0.27,AW,2,0.45,AW 0.45
AW2.45.C,_040,3/8/2024,0.52,1.13,0.61,AW,2,0.45,AW 0.45
AW2.01.A,_041,3/8/2024,0.7,0.96,0.26,AW,2,0.1,AW 0.1
AW2.01.C,_042,3/8/2024,0.22,0.33,0.11,AW,2,0.1,AW 0.1
OW3.DI,_043,3/8/2024,0.08,0.13,0.05,OW,3,Blank,OW Blank
OW3.ASW,_044,3/8/2024,0.06,0.05,-0.02,OW,3,Blank,OW Blank
OW3.1.A,_045,3/8/2024,4.96,34.75,29.8,OW,3,1,OW 1
OW2.45.B,_046,3/8/2024,0.6,1.02,0.42,OW,2,0.45,OW 0.45
OW2.45.C,_047,3/8/2024,0.7,1.28,0.58,OW,2,0.45,OW 0.45
OW2.01.A,_048,3/8/2024,0.27,0.31,0.04,OW,2,0.1,OW 0.1
OW2.01.B,_049,3/8/2024,0.43,0.59,0.16,OW,2,0.1,OW 0.1
OW2.01.C,_050,3/8/2024,0.4,0.55,0.15,OW,2,0.1,OW 0.1
AW2.DI,_051,3/8/2024,0.47,0.29,-0.18,AW,2,Blank,AW Blank
AW2.ASW,_052,3/8/2024,0.22,0.42,0.2,AW,2,Blank,AW Blank
AW2.1.A,_053,3/8/2024,1.48,1.82,0.34,AW,2,1,AW 1
AW2.1.B,_054,3/8/2024,0.9,1.92,1.02,AW,2,1,AW 1
AW1.45.C,_055,3/8/2024,0.44,0.91,0.47,AW,1,0.45,AW 0.45
AW1.01.A,_056,3/8/2024,0.05,0.13,0.08,AW,1,0.1,AW 0.1
AW1.01.C,_057,3/8/2024,0.22,0.29,0.07,AW,1,0.1,AW 0.1
OW2.DI,_058,3/8/2024,0.22,0.33,0.11,OW,2,Blank,OW Blank
OW2.ASW,_059,3/8/2024,0.26,0.31,0.05,OW,2,Blank,OW Blank
OW2.1.A,_060,3/8/2024,0.71,2.06,1.36,OW,2,1,OW 1
OW2.1.B,_061,3/8/2024,0.76,2.1,1.35,OW,2,1,OW 1
OW2.1.C,_062,3/8/2024,0.73,2.51,1.79,OW,2,1,OW 1
OW2.45.A,_063,3/8/2024,0.44,1.35,0.92,OW,2,0.45,OW 0.45
OW1.01.B,_064,3/8/2024,0.06,0.4,0.34,OW,1,0.1,OW 0.1
OW1.01.C,_065,3/8/2024,0.01,34.27,34.26,OW,1,0.1,OW 0.1
AW1.1.A,_068,3/8/2024,0.35,1.37,1.03,AW,1,1,AW 1
AW1.1.B,_069,3/8/2024,0.47,1.26,0.79,AW,1,1,AW 1
AW1.1.C,_070,3/8/2024,0.33,1.26,0.93,AW,1,1,AW 1
AW1.45.A,_071,3/8/2024,0.31,0.66,0.34,AW,1,0.45,AW 0.45
AW1.45.B,_072,3/8/2024,0.31,1,0.69,AW,1,0.45,AW 0.45
OW1.1.A,_075,3/8/2024,0.33,1.32,0.98,OW,1,1,OW 1
OW1.1.B,_076,3/8/2024,0.35,1.48,1.14,OW,1,1,OW 1
OW1.1.C,_077,3/8/2024,0.28,1.34,1.06,OW,1,1,OW 1
OW1.45.A,_078,3/8/2024,0.47,0.91,0.44,OW,1,0.45,OW 0.45
OW1.45.B,_079,3/8/2024,0.29,0.95,0.65,OW,1,0.45,OW 0.45
OW1.45.C,_080,3/8/2024,0.29,1,0.71,OW,1,0.45,OW 0.45
OW1.01.A,_081,3/8/2024,0.06,0.06,0,OW,1,0.1,OW 0.1
OW5.01.B,_082,3/8/2024,0.38,7.34,6.96,OW,5,0.1,OW 0.1
OW5.45.C,_083,3/8/2024,0.9,17.02,16.12,OW,5,0.45,OW 0.45
OW5.45.B,_084,3/8/2024,0.88,12.88,12,OW,5,0.45,OW 0.45
OW5.45.A,_085,3/8/2024,0.7,10.53,9.83,OW,5,0.45,OW 0.45
OW5.1.C,_086,3/8/2024,0.84,13.61,12.76,OW,5,1,OW 1
OW5.1.B,_087,3/8/2024,0.98,13.12,12.14,OW,5,1,OW 1
OW5.1.A,_088,3/8/2024,0.83,14.28,13.45,OW,5,1,OW 1
OW5.DI,_090,3/8/2024,NA,0.06,NA,OW,5,Blank,OW Blank
AW5.45.C,_091,3/8/2024,0.72,11.52,10.8,AW,5,0.45,AW 0.45
AW5.45.B,_092,3/8/2024,0.9,11.24,10.34,AW,5,0.45,AW 0.45
AW5.45.A,_093,3/8/2024,0.7,10.72,10.01,AW,5,0.45,AW 0.45
AW5.1.C,_094,3/8/2024,0.92,12.25,11.33,AW,5,1,AW 1
AW5.1.B,_095,3/8/2024,1.07,14.3,13.22,AW,5,1,AW 1
AW5.1.A,_096,3/8/2024,0.88,14.13,13.25,AW,5,1,AW 1
AW5.ASW,_097,3/8/2024,NA,0.06,NA,AW,5,Blank,AW Blank
AW5.DI,_098,3/8/2024,NA,0.01,NA,AW,5,Blank,AW Blank
OW5.01.C,_099,3/8/2024,0.4,3.37,2.97,OW,5,0.1,OW 0.1
AW5.01.A,_100,3/8/2024,0.49,2.86,2.38,AW,5,0.1,AW 0.1
AW1.DI,_066,NA,NA,NA,NA,AW,1,Blank,AW Blank
AW1.ASW,_067,NA,NA,NA,NA,AW,1,Blank,AW Blank
OW1.DI,_073,NA,NA,NA,NA,OW,1,Blank,OW Blank
OW1.ASW,_074,NA,NA,NA,NA,OW,1,Blank,OW Blank
OW5.ASW,_089,NA,NA,NA,NA,OW,5,Blank,OW Blank
